Title,Description,VideoId,ViewCount,LikeCount,DislikeCount,CommentCount,ChannelTitle,ViewCCount,CommentCCount,SubscriberCount
ALEXA vs GOOGLE A BATALHA FINAL 10,LOJA DO CANAL  httpswwwloljacombrfelipeneto Agora  pra decidir Quem ser a melhor Alexa vs Google o confronto ,w5kjwMrCm0E,8428029,693743,0,18588,Felipe Neto,17095203197,0,45800000
Part 20  scary Place found on Google map amp Google Earth shorts,Part 20  scary Place found on Google map  Google Earth shorts,5YZTPpUxsoQ,470554,28151,0,91,Exploring Start Up,15574304,0,370000
How FAST is Google39s WiFi,shorts google I spend a LOT of time trying to make my videos as concise polished and useful as possible for you  if you would ,kPnpE_wAy9Y,12185441,914745,0,5397,Mrwhosetheboss,4574459852,0,16900000
Must Watch Very Special New Comedy Video  Amazing Funny Video 2023 Episode 204 By Busy Fun Ltd,Hello Dear Viewers This is a funny videos channel We make funny videos in our village Because We are live in village,seXbnAMreeA,85723804,228451,0,2483,Busy Fun Ltd,8296032884,0,19600000
Google Earth        Strangers Things Found On Google Earth  shorts,,OUb89bwQoJM,5339308,475059,0,449,The Fact,1821182999,0,4820000
Google  MINA ,MINA   Google   Google  ,ksXsm-VSRPo,30108,3294,0,125,Google Japan,650149627,0,402000
Kali Chodash Khava Aavi      Gaju ni Dhamal  Deshi Comedy ,Kali Chodash Khava Aavi      Gaju ni Dhamal  Deshi Comedy  Aartis Gajendrasinh Gohil ,UHYUh6QmGhY,139308,2728,0,37,Dosti digital,734538411,0,871000
GOOGLE KNOWS EVERYTHING I Googled Myself,Wassup Gamers Today I googled myself googling myself Follow Me On EVERYWHERE Not on streets please  Instagram ,KW3kqzUuRLQ,2502527,113386,0,3233,I M Bixu,394777187,0,2670000
GOO GOO GAGA PRETEND PLAY SHOPPING AT TARGET,Goo Goo Gaga and his mom pretend play shopping at Target He teach his mom to eat healthy by not choosing unhealthy snacks,F95wcsJAz0c,269166808,620514,0,0,Goo Goo Colors,3843438653,0,6370000
google google new nagpuridj song google google song,,RZyTViJp9Sc,667812,3604,0,71,Nagpuri Dj song Rustam lakra,759109,0,3540
